question,A,B,C,D,answer
幸福社區要進行組織報備，紙本資料要寄給主管機關是？,內政部警政署,當地民政局,當地縣市政府,內政部國土管理署,3
老王把一樓店面租給小李經營小吃店，並合法取得商業及營業登記。但管委會以規約不准一樓店面經營餐飲業為由禁止小李開業。請問下列何者正確？,住戶應遵守規約，小李不得違反規定開小吃店營業,小李違反規約，老王應與小李解除租約，收回店面,小李依使照及法令規定使用專有部分，管委會不得禁止,管委會應啟動惡鄰條款將小李趕走,3
幸福大樓為集合住宅，老王在這裡買了一間房，為幸福大樓之區權人，請問下列何者正確？,老王可以將幸福大樓的房子贈與給兒子、土地贈與給女兒,老王死後，兒子跟女兒將會共同持分這間房,老王可將這間房的共用部份(公設)單獨設定，抵押給銀行借款,老王死後，這間房只有歸兒子一個人所有,2
老王住在幸福大樓6樓，位在正下方五樓的小李，其天花板出現滴水，小李向老王請求，要進老王的屋內檢修，請問下列何者有誤？,老王家為其專有部分，依法可以拒絕小李進屋察看,如果老王拒絕，小李可向法院訴請主張，老王必須配合,小李可請求管委會介入協調，請老王配合查修,如果老王拒絕，小李可保全漏水證據，寄發存證信函以做為日後之請求,1
幸福大樓公共管道間漏水，管委會審視平面圖後，決定從老王家牆壁開洞方便修繕，請問下列何者有誤？,施工期間如造成老王家髒汙，管委會應該負責其清潔整理,老王可以向管委會請求，施工完畢後須將牆面恢復原狀,老王可以請求管委會，施工期間給予合理的補償,老王家為其專有部分，依法可以拒絕管委會請求,4
老王是幸福大樓8樓區分所有權人，管委會決定在外牆設置廣告看板以增加社區收入，但因此會遮住老王家的窗戶及視野，請問下列何者正確？ ,透過管委會討論同意後為之,透過區大決議通過後為之,透過區大決議通過後，且須經過老王書面同意,需要全體區權人百分之百同意後方可為之,3
幸福大樓的外牆磁磚掉落，請問下列何者正確？,外牆依法屬於共用部分，由管委會負責維護修繕管理,外牆的維護管理責任及修繕費用，應該以幸福大樓的社區規約為準,磁磚掉落不慎砸傷行人，因屬於天災，行人應找市政府申請國賠,磁磚掉落不慎砸傷行人，大樓萬一沒有成立管委會，行人只好自認倒楣,2
為了避免讀幼稚園的兒子亂爬，小李決定在陽台設置防墜設施，請問下列何者正確？,法律規定可以設置防墜設施，所以小李在陽台裝設可完全封閉的鋁窗,小李可在陽台設置喜歡的鐵窗樣式，不須經過管委會同意,小李可在陽台裝設電動百葉窗，因為有條例背書,需依照內政部防墜設施設置原則及社區規約辦理，不可任意為之,4
老王住在幸福大樓頂層，上面為樓頂平台，日前大雨後室內天花板開始滴水，下列何者正確？,買在頂層本來就有漏水風險，住戶須自行承擔樓頂平台的修繕,老王跟管委會進行協商，雙方約定修繕費用各自負擔一半,區大決議，頂層住戶須自行承擔漏水風險，與管委會無涉,樓頂平台為共用部分，修繕管理維護應由管委會為之,4
幸福大樓的管道間內，有分佈大樓的共用排水管線，也有各專有部分的進水管線，如今管道間內的進水管線有破裂，管委會該如何處理為宜？,進水管線屬於專有使用，應由該專有部分的區分所有權人自行負責,管線破裂的位置在管道間，所以應由管委會來負責,可透過區大決議，將管線的修繕費用納入規約，全體區權人一體適用,管委會與該專有部分之區分所有權人一人支付一半,3
四樓之五在做室內裝修，結果隔壁的四樓之六發現，分戶牆上面出現明顯裂痕，住戶該如何處理為宜？,追究四樓之五是否向主管機關申請室內裝修許可,檢討分戶牆之防火區劃是否遭到破壞,要求四樓之五暫時停工，確定安全無虞之後方可復工,以上皆是,4
幸福大樓的四樓屋主日前發現天花板有明顯水痕，於是找五樓屋主商量如何處理，發現疑似是五樓浴室埋在樓地板內的排水管破裂，下列處理方式何者正確？,排水管線是五樓的專有部分，應該由五樓負起維護修繕管理之責任,各人自掃門前雪，誰的家裡面在滴水，誰就該自行負責,應由四樓及五樓的區權人，共同分攤這筆修繕費用,以上皆非,3
